"how to record -PRON- screen ?	None"
"how can -PRON- highlight or annotate pdf ?	None"
"torrent client for the command - line ?	None"
"how to phonograph recording -PRON- screen ?	None"
"how can -PRON- high spot or annotate pdf ?	None"
"torrent client for the bid - logical argument ?	None"
"how to record -PRON- screen ?	None"
"how tin -PRON- high spot or annotate pdf ?	None"
"torrent client for the command - line ?	None"
"how to record -PRON- silver screen ?	None"
"how can -PRON- highlight or annotate pdf ?	None"
"torrent client for the command - line ?	None"
"how to phonograph recording -PRON- screen ?	None"
"how can -PRON- highlighting or annotate pdf ?	None"
"torrent client for the command - argumentation ?	None"
"how to phonograph record -PRON- screen ?	None"
"how can -PRON- highlight or annotate pdf ?	None"
"be -PRON- worth upgrade from 12.04 lts to 13.04	Make Update"
"upgrade to 12.04 64 bit	Make Update"
"how to upgrade ubuntu 14.04.1 to 14.04.2 ?	Make Update"
"upgrade from ubuntu 14.04 to 15.04	Make Update"
"how to upgrade from ubuntu 15.04 to 15.10 ?	Make Update"
"upgrade 12.04 to 12.10 use startup disk	Make Update"
"how to upgrade from 11.10 to 12.04 when -PRON- have get a problem ?	Make Update"
"update 11.04 to 12.04 with livecd	Make Update"
"how to upgrade ubuntu 9.10 to 12.10 via terminal ?	Make Update"
"how to upgrade from ubuntu 10.10 to 11.04 ?	Make Update"
"be -PRON- worth upgrade from 12.04 lts to 13.04	Make Update"
"rise to 12.04 64 bit	Make Update"
"how to upgrade ubuntu 14.04.1 to 14.04.2 ?	Make Update"
"acclivity from ubuntu 14.04 to 15.04	Make Update"
"how to upgrade from ubuntu 15.04 to 15.10 ?	Make Update"
"upgrade 12.04 to 12.10 use startup disk	Make Update"
"how to upgrade from 11.10 to 12.04 when -PRON- have get a problem ?	Make Update"
"no matter what -PRON- do ubuntu 15.04 do not recognize hp laserjet 1020	Setup Printer"
"how to setup hp printer / scanner on ubuntu ?	Setup Printer"
"how do -PRON- setup -PRON- hp c4140 printer wirelessly ?	Setup Printer"
"how to setup wireless printing from a printer connect via usb on ubuntu server 12.10 ?	Setup Printer"
"how can -PRON- install a pantum 2502w laser printer on ubuntu	Setup Printer"
"install canon mp560 ubuntu 15.04	Setup Printer"
"how to install a brother mfc-5890cn network printer ?	Setup Printer"
"how do -PRON- install driver for a konica minolta 200 ?	Setup Printer"
"how do -PRON- install driver for the panasonic mb1900cx all - in - one printer / scanner ?	Setup Printer"
"how to install canon lbp2900b printer in 14.04 lts ? -PRON- try the method for lbp2900 but -PRON- do not work	Setup Printer"
"no matter what -PRON- bash ubuntu 15.04 do not recognize hp laserjet 1020	Setup Printer"
"how to setup hp printer / scanner on ubuntu ?	Setup Printer"
"how do -PRON- setup -PRON- hp c4140 printer wirelessly ?	Setup Printer"
"how to setup wireless printing from a printer connect via usb on ubuntu server 12.10 ?	Setup Printer"
"how tin -PRON- install a pantum 2502w laser printer on ubuntu	Setup Printer"
"install canon mp560 ubuntu 15.04	Setup Printer"
"how to install a brother mfc-5890cn network printer ?	Setup Printer"
"any command line calculator for ubuntu ?	Software Recommendation"
"extract embed image from a pdf	Software Recommendation"
"what to use to quickly cut audio / video	Software Recommendation"
"mysql gui tools	Software Recommendation"
"what developer text editor be available for ubuntu ?	Software Recommendation"
"what screenshot tool be available ?	Software Recommendation"
"which program can -PRON- use to edit pdf file ?	Software Recommendation"
"be there a lightweight tool to crop image quickly ?	Software Recommendation"
"what irc client be available ?	Software Recommendation"
"what new game be available for ubuntu in 2011 ?	Software Recommendation"
"upnp / dlna ( client ) player recommendation ?	Software Recommendation"
"what scientific plot software be available ?	Software Recommendation"
"can -PRON- recommend a password generator ?	Software Recommendation"
"what tool do -PRON- use to monitor a web server ?	Software Recommendation"
"what be a good mongodb gui client ?	Software Recommendation"
"password management applications ?	Software Recommendation"
"be there an application for read mobi file ?	Software Recommendation"
"shut down without extra question	Shutdown Computer"
"how to shutdown computer when user be log on ?	Shutdown Computer"
"what be the proper terminal - way to shutdown ?	Shutdown Computer"
"how can -PRON- automatically shutdown the system after a specific time ?	Shutdown Computer"
"hotkey to shut down from login screen ?	Shutdown Computer"
"how to shutdown the computer after xsession end ?	Shutdown Computer"
"how can one shutdown a pc use the keyboard ?	Shutdown Computer"
"how can -PRON- enable shutdown verbosity ?	Shutdown Computer"
"be there any keyboard shortcuts to shutdown ?	Shutdown Computer"
"shutdown after a certain time	Shutdown Computer"
"shutdown problem in ubuntu 16.04	Shutdown Computer"
"how do -PRON- fix a shutdown problem ?	Shutdown Computer"
"what graphical utility can -PRON- use for ubuntu auto shutdown ?	Shutdown Computer"
"shut down without extra inquiry	Shutdown Computer"
"how to shutdown computer when user be lumber on ?	Shutdown Computer"
"what be the proper terminal - way to shutdown ?	Shutdown Computer"
